Id,y
10000,-66.002423490231359000000000000000000000000000000000000000000000
10001,451.406504401154967300000000000000000000000000000000000000000000
10002,-461.676417060299075000000000000000000000000000000000000000000000
10003,40.501208753723117000000000000000000000000000000000000000000000
10004,-126.744722454036985000000000000000000000000000000000000000000000
10005,-342.534551819250958000000000000000000000000000000000000000000000
10006,-396.555542113589150000000000000000000000000000000000000000000000
10007,335.541279079087406000000000000000000000000000000000000000000000
10008,-99.512420870623497800000000000000000000000000000000000000000000
10009,304.812539806275905200000000000000000000000000000000000000000000
10010,68.894530489785447000000000000000000000000000000000000000000000
10011,412.369195455907160500000000000000000000000000000000000000000000
10012,54.942371024768036000000000000000000000000000000000000000000000
10013,-17.005550754779763000000000000000000000000000000000000000000000
10014,-597.849957572261159000000000000000000000000000000000000000000000
10015,443.502288786414903000000000000000000000000000000000000000000000
10016,144.774486978043482000000000000000000000000000000000000000000000
10017,-57.411163672536521000000000000000000000000000000000000000000000
10018,134.387827577460529000000000000000000000000000000000000000000000
10019,-108.983775989108640000000000000000000000000000000000000000000000
10020,153.824828425066948670000000000000000000000000000000000000000000
10021,611.735983602202238000000000000000000000000000000000000000000000
10022,588.389650338421907000000000000000000000000000000000000000000000
10023,-131.016799958019847300000000000000000000000000000000000000000000
10024,-61.135621141229511000000000000000000000000000000000000000000000
10025,-374.248495316972614000000000000000000000000000000000000000000000
10026,74.157993079654074000000000000000000000000000000000000000000000
10027,137.438378736104412730000000000000000000000000000000000000000000
10028,420.086611796790490000000000000000000000000000000000000000000000
10029,196.765625713442776000000000000000000000000000000000000000000000
10030,268.442849800531577000000000000000000000000000000000000000000000
10031,638.474910251108922000000000000000000000000000000000000000000000
10032,127.378731386919726500000000000000000000000000000000000000000000
10033,1.349118758399993000000000000000000000000000000000000000000000
10034,22.710453177408010000000000000000000000000000000000000000000000
10035,342.239534522564714000000000000000000000000000000000000000000000
10036,307.703966974171891000000000000000000000000000000000000000000000
10037,348.138208700939728000000000000000000000000000000000000000000000
10038,-168.652861307354315000000000000000000000000000000000000000000000
10039,-20.221130904617234000000000000000000000000000000000000000000000
10040,-551.749927573111503000000000000000000000000000000000000000000000
10041,-429.971804066740196000000000000000000000000000000000000000000000
10042,261.891958706744019000000000000000000000000000000000000000000000
10043,389.820426129221245000000000000000000000000000000000000000000000
10044,-96.165622273565531000000000000000000000000000000000000000000000
10045,-210.710801256324229000000000000000000000000000000000000000000000
10046,278.881868784011221000000000000000000000000000000000000000000000
10047,-427.453301031049185000000000000000000000000000000000000000000000
10048,-172.903252917567149400000000000000000000000000000000000000000000
10049,467.264378355785824000000000000000000000000000000000000000000000
10050,-631.558735587438927000000000000000000000000000000000000000000000
10051,-355.531659338178466000000000000000000000000000000000000000000000
10052,143.173275538603851000000000000000000000000000000000000000000000
10053,69.199202598942106000000000000000000000000000000000000000000000
10054,275.588273976725440000000000000000000000000000000000000000000000
10055,-263.188612204102407400000000000000000000000000000000000000000000
